Company,Total_comp
Amazon,19865000
Microsoft,19295000
Google,11282000
Facebook,7233000
Apple,5266000
Oracle,4993000
Expedia,2427000
Cisco,1870000
Salesforce,1384000
Intel,1283000
Tesla,1075000
Lyft,1074000
PwC,880000
Accenture,877000
Dropbox,821000
LinkedIn,810000
VMware,746000
Deloitte,730000
Airbnb,632000
Pinterest,562000
Amazon Web Services (AWS),556000
PayPal,555000
McKinsey & Company,550000
Raytheon,541000
Stripe,529000
Samsung,521000
Booking.com,479000
Twitch,475000
Dell,472000
NVIDIA,450000
Yandex,445000
EY,442000
IBM,371000
BlackRock,350000
Workday,330000
Intuit,314000
Red Hat,313000
Twilio,312000
Cognizant,304000
Hulu,300000
JP Morgan Chase,288000
Nike,280000
Atlassian,278000
Waymo,278000
T-Mobile,275000
Bank of America,269000
DocuSign,260000
Snap,257000
Twitter,255000
Visa,244000
KPMG,240000
Citi,234000
HP,205000
Qualcomm,200000
Morgan Stanley,188000
Infosys,180000
Square,175000
ServiceNow,165000
Lockheed Martin,155000
Verizon,151000
Grab,135000
Wayfair,127000
SAP,101000
Adobe,27000